
STATUS | wrapper  | 2020/03/25 21:03:59 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 21:03:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 21:03:59 | WrapperSimpleApp Error: Unable to locate the class com.avioconsulting.mule.Foo : java.lang.ClassNotFoundException: com.avioconsulting.mule.Foo
INFO   | jvm 1    | 2020/03/25 21:03:59 | 
INFO   | jvm 1    | 2020/03/25 21:03:59 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2020/03/25 21:03:59 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2020/03/25 21:03:59 | 
INFO   | jvm 1    | 2020/03/25 21:03:59 | Where:
INFO   | jvm 1    | 2020/03/25 21:03:59 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2020/03/25 21:03:59 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2020/03/25 21:03:59 |                   application.
STATUS | wrapper  | 2020/03/25 21:04:01 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 21:08:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 21:08:54 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 21:08:54 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 21:08:54 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 21:08:54 | 
STATUS | wrapper  | 2020/03/25 21:08:54 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 21:08:54 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 21:08:54 | WrapperSimpleApp Error: Class com.avioconsulting.mule.testing.junit.BackgroundRunner found but could not be initialized: java.lang.NoClassDefFoundError: groovy/lang/GroovyObject
STATUS | wrapper  | 2020/03/25 21:08:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 21:11:51 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 21:11:51 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 21:11:51 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 21:11:51 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 21:11:51 | 
STATUS | wrapper  | 2020/03/25 21:11:52 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp: 
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: Encountered an error running main:
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: java.lang.NoClassDefFoundError: Lorg/apache/logging/log4j/core/Logger;
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.Class.getDeclaredFields0(Native Method)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.Class.privateGetDeclaredFields(Class.java:2583)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.Class.getDeclaredFields(Class.java:1916)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.CachedClass$1$1.run(CachedClass.java:67)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.CachedClass$1$1.run(CachedClass.java:65)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.CachedClass$1.initValue(CachedClass.java:65)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.CachedClass$1.initValue(CachedClass.java:62)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.util.LazyReference.getLocked(LazyReference.java:49)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.util.LazyReference.get(LazyReference.java:36)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.CachedClass.getFields(CachedClass.java:291)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at groovy.lang.MetaClassImpl.addFields(MetaClassImpl.java:2381)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at groovy.lang.MetaClassImpl.inheritFields(MetaClassImpl.java:2376)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at groovy.lang.MetaClassImpl.setupProperties(MetaClassImpl.java:2263)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at groovy.lang.MetaClassImpl.addProperties(MetaClassImpl.java:3338)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at groovy.lang.MetaClassImpl.initialize(MetaClassImpl.java:3303)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.ClassInfo.getMetaClassUnderLock(ClassInfo.java:289)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.reflection.ClassInfo.getMetaClass(ClassInfo.java:331)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.metaclass.MetaClassRegistryImpl.getMetaClass(MetaClassRegistryImpl.java:277)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.InvokerHelper.getMetaClass(InvokerHelper.java:905)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.createCallConstructorSite(CallSiteArray.java:86)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCallConstructor(CallSiteArray.java:59)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callConstructor(AbstractCallSite.java:238)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.callConstructor(AbstractCallSite.java:250)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at com.avioconsulting.mule.testing.junit.BackgroundRunner.main(BackgroundRunner.groovy:10)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.Thread.run(Thread.java:748)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: Caused by: java.lang.ClassNotFoundException: org.apache.logging.log4j.core.Logger
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.net.URLClassLoader.findClass(URLClassLoader.java:382)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.ClassLoader.loadClass(ClassLoader.java:419)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:352)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	at java.lang.ClassLoader.loadClass(ClassLoader.java:352)
INFO   | jvm 1    | 2020/03/25 21:11:52 | WrapperSimpleApp Error: 	... 31 more
STATUS | wrapper  | 2020/03/25 21:11:54 | <-- Wrapper Stopped
